CustomerID,Name,Username,Age,Gender,Address,PhoneNumber,Email
15,Charlotte Nsia,charlotte nsia.818,51,male,"482 Opuku Rue Suite 918
West Jamesshire, NY 28824",0505091919,charlotte nsia.818@outlook.com
16,Awura Sharon Antwi,awura sharon antwi.180,31,female,"78277 Obeng Hollow
Bonsufort, OK 09350",0568465335,awura sharon antwi.180@yahoo.com
17,Jacob Akyeamfuɔ-Fosu,jacob akyeamfuɔ-fosu.915,3,male,"219 Agyare Manor
Owusuland, OR 26991",+233261349522,jacob akyeamfuɔ-fosu.915@outlook.com
18,Mrs. Natasha Boahen,mrs. natasha boahen.097,41,male,"42696 Robert Turnpike Suite 265
Sarpongport, AS 03887",0546594456,mrs. natasha boahen.097@outlook.com
19,Awesi Okyere,awesi okyere.123,24,male,"632 Opuku Overpass
Andorfulshire, CA 71028",+233287566338,awesi okyere.123@gmail.com
20,Awesi Amoa-Asante,awesi amoa-asante.428,21,male,"60500 Adutwum Track
Lake Sheilabury, AR 78334",+233574383401,awesi amoa-asante.428@yahoo.com
21,Kwamena Duah,kwamena duah.903,16,male,"8789 Akyerεko Run
Akyeampongmouth, WV 87545",+233542291204,kwamena duah.903@outlook.com
22,Phillip Asenso,phillip asenso.536,4,male,"944 Koomson Freeway Suite 867
New Roselyn, IA 42153",0249081156,phillip asenso.536@uk.org
23,Osofo Maame Regina Ofosu,osofo maame regina ofosu.224,20,female,"5757 Martin Creek
Williamstad, OK 31583",+233540180224,osofo maame regina ofosu.224@outlook.com
24,Leslie Tawia,leslie tawia.591,4,female,"557 Okyere Brook Apt. 171
Jacobfort, AS 01770",+233549827279,leslie tawia.591@gmail.com
25,Kwabena Bonsu,kwabena bonsu.494,9,male,"18207 Quartey Throughway Apt. 373
Boaduside, KS 35113",+233501550518,kwabena bonsu.494@outlook.com
26,Esi Twumasi,esi twumasi.751,1,male,"80957 Asare Falls Apt. 197
North Lorraineborough, MS 58053",0500877415,esi twumasi.751@uk.org
27,Albert Adusei-Fosu,albert adusei-fosu.277,14,male,"94881 Afrakomaa Summit
North Bruceton, RI 52806",+233276384423,albert adusei-fosu.277@outlook.com
28,Yaw Gyasi,yaw gyasi.579,23,male,"776 Boahen Neck
Lukemouth, GU 46328",+233208259781,yaw gyasi.579@gmail.com
29,Yaa Agyapomaa,yaa agyapomaa.926,22,male,"Unit 3648 Box 7469
DPO AP 45916",+233541557104,yaa agyapomaa.926@gmail.com
30,Maame Akos Amponsa,maame akos amponsa.245,5,female,"724 Deborah Parks
Port Ruth, FM 39197",0201663981,maame akos amponsa.245@gmail.com
31,Samantha Amoasi,samantha amoasi.057,41,female,"407 Elliot Freeway Suite 176
Andorfulstad, SD 28158",0284391055,samantha amoasi.057@uk.org
32,Ms. Helen Agyapong,ms. helen agyapong.963,6,female,"2748 Roger Throughway Suite 884
Joojoville, GA 48424",0550493901,ms. helen agyapong.963@gmail.com
33,Mark Donkor,mark donkor.667,20,male,"103 Duncan Shore
Port Tonyport, IL 41147",0288336334,mark donkor.667@uk.org
34,Ms. Maureen Antwiwaa,ms. maureen antwiwaa.505,55,male,"26220 Kwaakyewaa Walk
Erictown, NC 22238",0264204392,ms. maureen antwiwaa.505@outlook.com
35,Graham Agyare,graham agyare.593,47,female,"41579 Mandy Unions
South Vida, UT 87610",+233574589565,graham agyare.593@uk.org
36,Rosemary Adomako,rosemary adomako.730,46,male,"7017 Denise Haven
Kusiton, AK 05054",+233564145854,rosemary adomako.730@uk.org
37,Oliver Amoasi,oliver amoasi.929,10,male,"513 Foriwaa Circles
Lydiamouth, NH 79307",+233540956064,oliver amoasi.929@uk.org
38,Paul Osei,paul osei.079,16,male,"9625 Opuku Knoll Apt. 180
Mariaview, NH 29272",0550363660,paul osei.079@gmail.com
39,Dominic Wiafe,dominic wiafe.113,7,female,"4088 Baafi Unions Apt. 828
South Frankchester, RI 26966",+233268101529,dominic wiafe.113@outlook.com
40,Danny Donkor,danny donkor.580,3,male,"3072 Koomson Club Suite 231
West Adrian, NM 59629",+233286223546,danny donkor.580@outlook.com
41,Awura Shirley Gyasiwaa,awura shirley gyasiwaa.397,8,female,"2952 Amoakowaa Mills Suite 120
Frimpomaahaven, AS 32050",+233205524225,awura shirley gyasiwaa.397@uk.org
42,Oliver Danso,oliver danso.023,52,male,"971 Quartey Turnpike Apt. 395
Williammouth, FL 65101",0550865329,oliver danso.023@yahoo.com
43,Dorcas Baafi-Pokuaa,dorcas baafi-pokuaa.086,58,female,"90288 Asiama River Suite 905
West Benjaminbury, MD 02899",0568230979,dorcas baafi-pokuaa.086@gmail.com
44,Jacob Ntim,jacob ntim.046,57,female,"2823 Joseph Radial Suite 467
Lake Oliver, VA 53373",+233200515362,jacob ntim.046@uk.org
45,Agya Tony Acheampong,agya tony acheampong.225,12,male,"4644 Rachael Stream
East Terencemouth, AL 51916",0273495966,agya tony acheampong.225@yahoo.com
46,Emma Gyasi,emma gyasi.316,28,male,"95499 COmfort Station Suite 286
East Naomi, WY 67599",+233266204484,emma gyasi.316@uk.org
47,Amanda Karikari,amanda karikari.229,22,male,"786 Boadi Spurs Suite 273
Amberstad, OH 64976",+233554737889,amanda karikari.229@gmail.com
48,Sista Yvonne Boakye,sista yvonne boakye.317,8,male,"75365 Georgina Glen
Port Angelachester, IL 27347",+233578171741,sista yvonne boakye.317@outlook.com
49,Emma Ampofo,emma ampofo.898,59,female,"5384 Terence Ville Suite 883
North Nana Amaland, WV 92697",0505928918,emma ampofo.898@yahoo.com
50,Amanda Pokuaa,amanda pokuaa.286,54,male,"68414 Dennis Trafficway
Akɔmaabury, ME 90792",0568378725,amanda pokuaa.286@gmail.com
51,Maame Dorcas Gyamfiaa,maame dorcas gyamfiaa.785,30,male,"2292 Anokye Crossing Suite 470
South Christina, OH 68955",+233507034860,maame dorcas gyamfiaa.785@yahoo.com
52,Aba Tweneboa,aba tweneboa.680,16,male,"898 Safo Plaza
East Rebecca, MP 39693",+233500129084,aba tweneboa.680@outlook.com
53,Regina Asamoah,regina asamoah.288,41,female,"7475 Kyeiwaa Freeway
Agyeiwaabury, KY 58141",0544220224,regina asamoah.288@outlook.com
54,Comfort Boakye,comfort boakye.938,16,male,"PSC 9506, Box 8750
APO AA 34403",+233503677406,comfort boakye.938@uk.org
55,Jeremy Kwarteng,jeremy kwarteng.275,5,male,"194 Agyare Curve Suite 593
Louisburgh, AK 16616",0206946886,jeremy kwarteng.275@yahoo.com
56,Georgina Nsia,georgina nsia.860,46,female,"46168 Deborah Squares Apt. 037
West Adwoa, NH 26100",+233266612075,georgina nsia.860@yahoo.com
57,Danielle Foriwaa,danielle foriwaa.492,13,female,"0264 Kwaakye Tunnel Suite 513
North Akosside, NE 92191",+233265020987,danielle foriwaa.492@gmail.com
58,Naomi Ofosu,naomi ofosu.178,29,female,"65557 Nsia Knolls Apt. 336
East Akwesi, KY 72091",+233284853474,naomi ofosu.178@uk.org
59,Wendy Asare,wendy asare.274,43,female,"9504 Akyeamfuɔ Plain Suite 391
Kyerewaaborough, TN 77999",+233278712140,wendy asare.274@outlook.com
60,COmfort Ofosu,comfort ofosu.383,54,female,"Unit 2694 Box 3700
DPO AP 68247",0575062284,comfort ofosu.383@uk.org
61,Osofo Derrick Ankra,osofo derrick ankra.304,15,male,"9769 Mandy Lake Apt. 630
Koomsonburgh, CO 62290",+233554440301,osofo derrick ankra.304@gmail.com
62,Dr. Julia Agyare,dr. julia agyare.954,35,female,"51862 Boakye Locks
New Akumaa, TN 75957",0544682602,dr. julia agyare.954@uk.org
63,Denise Nyantakyi,denise nyantakyi.612,39,male,"PSC 2178, Box 5541
APO AA 22748",0276083935,denise nyantakyi.612@outlook.com
64,Agya Philip Gyamfi,agya philip gyamfi.961,5,female,"1026 Boahen Orchard
Ahortorburgh, WY 85790",+233206374334,agya philip gyamfi.961@outlook.com
65,Vincent Asenso,vincent asenso.254,28,male,"8144 Constance Crest Suite 577
Kusiwaabury, FM 72826",+233240111030,vincent asenso.254@gmail.com
66,Awura Adwoa Akyeamfuɔ,awura adwoa akyeamfuɔ.227,49,female,"95421 Boadu Haven
Ntiamoafurt, PW 31135",+233544907189,awura adwoa akyeamfuɔ.227@gmail.com
67,Regina Fosu,regina fosu.387,39,female,"924 Nimakoah Knolls Suite 243
East Joshua, VA 02377",+233507303787,regina fosu.387@uk.org
68,Harriet Adomah,harriet adomah.497,41,female,"Unit 3444 Box 7642
DPO AE 11797",0509396912,harriet adomah.497@gmail.com
69,Regina Ansomaa-Danso,regina ansomaa-danso.067,32,female,"648 Emma Neck Apt. 438
West Howard, NH 75339",+233264519202,regina ansomaa-danso.067@yahoo.com
70,Grace Asamoa,grace asamoa.413,48,male,"889 Nkansah Path
Gyasiville, NV 95382",+233568243648,grace asamoa.413@yahoo.com
71,Oliver Safo-Oppong,oliver safo-oppong.560,25,male,"625 COmfort Common Apt. 550
Lake Malcolm, GU 62294",0264456769,oliver safo-oppong.560@outlook.com
72,Henry Agyapong,henry agyapong.619,1,male,"07766 Omani Forge Apt. 970
South Yaa, GU 99531",0248434543,henry agyapong.619@uk.org
73,Janet Akyerεko,janet akyerεko.996,34,female,"0231 Kusiwaa Park
Annettebury, ND 91022",0286202117,janet akyerεko.996@outlook.com
74,Miss Regina Asiama,miss regina asiama.970,49,female,"6023 Kusi Glens
Port John, AZ 90401",+233246888866,miss regina asiama.970@uk.org
75,Osofo Victor Ankra,osofo victor ankra.045,58,male,"650 Gemma Spurs Suite 109
Feliciaville, CO 24174",0508086024,osofo victor ankra.045@yahoo.com
76,Mr. Alexander Owusu,mr. alexander owusu.088,33,male,"012 Kweku Junction Apt. 275
North Sarah, CO 76475",+233289933939,mr. alexander owusu.088@uk.org
77,Jason Awuah,jason awuah.878,36,male,"44090 Akoto Spring
Yirenkyifort, ID 02162",+233203490964,jason awuah.878@gmail.com
78,Gemma Ansomah,gemma ansomah.533,38,female,"3097 Antwi Mountains
Gregoryview, MD 13347",+233559420388,gemma ansomah.533@uk.org
79,Maame Emma Bonsra,maame emma bonsra.951,53,female,"310 Ofosu Stravenue
Duahtown, FM 12240",0501711971,maame emma bonsra.951@gmail.com
80,Mark Amoasi,mark amoasi.621,11,female,"3573 Tutu Isle
Nyaakoville, KS 62359",0566722585,mark amoasi.621@uk.org
81,Marian Mensa,marian mensa.880,47,female,"94546 Boakye Corners
Kwaakyefort, VT 36080",+233272827521,marian mensa.880@yahoo.com
82,Lisa Amo-Takyi,lisa amo-takyi.642,31,female,"0604 Adrian Club Suite 189
Amafort, AK 46377",0558586739,lisa amo-takyi.642@gmail.com
83,Owura Carl Bonsu,owura carl bonsu.763,8,female,"1987 Georgina Mission
Lake Esi, WI 71101",0241317336,owura carl bonsu.763@gmail.com
84,Janet Boakye-Anima,janet boakye-anima.660,14,female,"669 Afoakwa Groves
Christianburgh, WY 06415",0266900007,janet boakye-anima.660@uk.org
85,Nigel Ofori,nigel ofori.661,8,female,"468 Akowua Manor Suite 897
Lake Lukehaven, RI 12877",0574958735,nigel ofori.661@gmail.com
86,Isaac Ntiamoa,isaac ntiamoa.533,47,male,"83702 Charles Ramp
South Clifford, MH 02872",0273313675,isaac ntiamoa.533@uk.org
87,Sharon Obeng-Dufie,sharon obeng-dufie.702,11,male,"9106 Millicent Flats
Amponsastad, GU 76792",0278133029,sharon obeng-dufie.702@uk.org
88,Yaw Duah,yaw duah.088,3,female,"9977 Safo Cove Suite 545
West Angelabury, GA 92535",+233269137794,yaw duah.088@yahoo.com
89,Oliver Quartey,oliver quartey.279,50,male,"894 Adusei Union
North Georginaside, MI 46651",0201740036,oliver quartey.279@outlook.com
90,Bruce Twumasi-Nsia,bruce twumasi-nsia.588,40,male,"29923 Abena Lodge
West Kwabena, CO 34465",0244203943,bruce twumasi-nsia.588@uk.org
91,Lisa Kyei,lisa kyei.280,12,female,"809 Frederick Springs Suite 175
Amoahaven, ID 76315",0245669580,lisa kyei.280@uk.org
92,Adrian Amponsah,adrian amponsah.361,25,female,"57683 Tony Mountains Suite 008
Jenniferburgh, FM 67017",0243627671,adrian amponsah.361@uk.org
93,Stanley Ahortor,stanley ahortor.858,59,male,"18951 Acheampong Parkways
New Baabaton, IA 36224",+233546489131,stanley ahortor.858@yahoo.com
94,William Danso,william danso.538,19,female,"31107 Dufie Mountains
Obengbury, GU 90733",0560801387,william danso.538@yahoo.com
95,Miss Georgia Akyeamfuɔ,miss georgia akyeamfuɔ.080,49,female,"9583 Takyi Crest
Joyceland, FM 40105",+233264272007,miss georgia akyeamfuɔ.080@yahoo.com
96,Adrian Ofosu-Kumi,adrian ofosu-kumi.785,11,male,"48658 Obeng Lakes Suite 167
Port Comfort, FL 65676",0209827132,adrian ofosu-kumi.785@uk.org
97,Owura Gregory Nyame,owura gregory nyame.832,48,female,"499 Hannabel Points
New Mariamouth, TN 74485",+233287054276,owura gregory nyame.832@yahoo.com
98,Lucy Tweneboa,lucy tweneboa.587,16,male,"55743 Bernard Garden Suite 258
Port Judithbury, LA 17918",+233287261172,lucy tweneboa.587@outlook.com
99,Osofo Maame Sylvia Fosua,osofo maame sylvia fosua.152,51,female,"1006 Max Radial Apt. 516
New Stephanie, ND 65766",0280982632,osofo maame sylvia fosua.152@yahoo.com
100,Esi Dwamena,esi dwamena.127,21,male,"1366 Simon Valley Apt. 939
South Sheila, OK 78324",0568890983,esi dwamena.127@yahoo.com
101,Gerald Asiama-Tawia,gerald asiama-tawia.952,33,male,"88441 Adutwum Cove
Port Rachaelview, IA 35608",0269488375,gerald asiama-tawia.952@yahoo.com
102,Francesca Ampofo-Tweneboa,francesca ampofo-tweneboa.325,9,male,"047 Antwi Lake
East Lawrenciamouth, NM 40534",0282163984,francesca ampofo-tweneboa.325@outlook.com
103,Jason Ansa-Bona,jason ansa-bona.503,53,male,"USNS Andorful
FPO AP 39950",+233570054395,jason ansa-bona.503@yahoo.com
104,Awura Veronica Safo,awura veronica safo.419,39,male,"PSC 5516, Box 8567
APO AP 95745",+233552993208,awura veronica safo.419@yahoo.com
105,Benjamin Okyere,benjamin okyere.483,32,female,"8399 Jeffrey Park Suite 684
West Sarah, NM 94064",+233267914826,benjamin okyere.483@uk.org
106,Nigel Bona,nigel bona.807,60,male,"750 Ofori Shoals Suite 140
Kwaakyeview, IN 12805",0561868324,nigel bona.807@yahoo.com
107,Hannah Daako,hannah daako.690,56,female,"5506 Gordon Highway
Port Naomiside, MN 10451",0279097261,hannah daako.690@uk.org
108,Owura Kweku Fofie,owura kweku fofie.651,7,female,"632 Aaron Meadows
Mensahhaven, NH 17344",+233564113128,owura kweku fofie.651@uk.org
109,Dominic Tweneboa,dominic tweneboa.595,24,female,"55686 Abeiku Port Apt. 752
Ampofoview, VA 91374",+233275638294,dominic tweneboa.595@outlook.com
110,Mr. Kweku Ntim,mr. kweku ntim.746,13,male,"93416 Amoakowaa Port Apt. 660
South Gifty, MH 80051",+233553327880,mr. kweku ntim.746@yahoo.com
111,Awesi Frema-Owusu,awesi frema-owusu.241,58,male,"7896 Michael Summit Suite 784
Jessicatown, MO 86232",+233550576561,awesi frema-owusu.241@uk.org
112,Marian Appia,marian appia.479,1,male,"976 Acheampong Islands
East Ernestina, MN 77098",+233283116755,marian appia.479@yahoo.com
113,Thomas Appiah,thomas appiah.234,58,male,"200 Rachel Extensions
West Kwamena, PR 40558",0270317908,thomas appiah.234@gmail.com
114,Osofo Maame Yvonne Antwi,osofo maame yvonne antwi.825,6,female,"3963 Bonsu Bypass Apt. 134
New Susanmouth, KY 65534",0569762672,osofo maame yvonne antwi.825@outlook.com
115,Jacob Yeboa,jacob yeboa.042,8,male,"414 Tracy Courts Apt. 083
Safofurt, AS 11682",+233269145837,jacob yeboa.042@uk.org
116,Mama Danielle Boakyewaa,mama danielle boakyewaa.493,10,female,"385 Baawia Mountains
North Leslie, ND 91288",0569307743,mama danielle boakyewaa.493@uk.org
117,Jonathan Amo,jonathan amo.005,7,female,"08998 Adomah Mountain Suite 391
Katyland, ME 44188",+233202039635,jonathan amo.005@uk.org
118,Mrs. Victoria Baah,mrs. victoria baah.573,1,female,"31013 Rosemary Mall
North Jasonborough, PA 97941",+233200047482,mrs. victoria baah.573@outlook.com
119,Joanna Daako,joanna daako.492,41,female,"23036 Kyei Parks
Boadibury, AL 18372",0240560865,joanna daako.492@yahoo.com
120,John Akyeamfuɔ-Fofie,john akyeamfuɔ-fofie.989,10,male,"Unit 6432 Box 9325
DPO AP 41342",+233551444737,john akyeamfuɔ-fofie.989@yahoo.com
121,Lydia Kwarteng,lydia kwarteng.853,5,female,"PSC 4595, Box 0785
APO AP 13549",0570351095,lydia kwarteng.853@gmail.com
122,Albert Takyi,albert takyi.096,40,male,"759 Safo Corner Apt. 162
Carolineton, ID 10462",0282786896,albert takyi.096@gmail.com
123,Joseph Yirenkyi,joseph yirenkyi.486,18,female,"125 Max Creek
Ansomaabury, NJ 07770",0500865955,joseph yirenkyi.486@uk.org
124,Harriet Nyaakoaa,harriet nyaakoaa.996,28,female,"301 Margaret Springs Apt. 616
Harryton, FM 50854",0249071721,harriet nyaakoaa.996@outlook.com
125,Maria Nyaako,maria nyaako.462,2,male,"5868 Baafi Plain
Gordontown, VI 38162",+233558835678,maria nyaako.462@uk.org
126,Eliabeth Oti-Antwi,eliabeth oti-antwi.770,29,male,"631 Ampofo Mall
East Priscillaport, WV 08153",+233571325990,eliabeth oti-antwi.770@gmail.com
127,Mrs. Tracy Nti,mrs. tracy nti.082,7,female,"PSC 6368, Box 4968
APO AP 90993",+233288951512,mrs. tracy nti.082@uk.org
128,Joyce Amponsa,joyce amponsa.866,11,male,"86241 Janet Plaza
West Gerald, MD 68949",+233284551051,joyce amponsa.866@yahoo.com
129,Samuel Adomako,samuel adomako.882,13,female,"4364 Kyeiwaa Heights
Nyaakomouth, FM 11973",0546518622,samuel adomako.882@outlook.com
130,Dr. Elliott Nti,dr. elliott nti.384,53,male,"0006 Rebecca Village
East Susan, CT 30857",0563349951,dr. elliott nti.384@outlook.com
131,Mama Sarah Ankra,mama sarah ankra.181,8,female,"72779 Asiama Port Suite 427
South Akwasi, FL 56145",0208071836,mama sarah ankra.181@outlook.com
132,Marian Ansomaa,marian ansomaa.506,42,male,"8224 Boaten Rapid
Rachelside, MD 36267",+233274687232,marian ansomaa.506@outlook.com
133,Rita Okyere-Amoa,rita okyere-amoa.486,18,female,"57545 Dennis Squares Apt. 612
Joycefurt, RI 26951",0272817151,rita okyere-amoa.486@uk.org
134,Frank Baafi,frank baafi.382,21,male,"PSC 1906, Box 7188
APO AP 86684",+233202304985,frank baafi.382@uk.org
135,Margaret Ofosu,margaret ofosu.273,16,male,"PSC 8018, Box 7358
APO AA 43242",0547249141,margaret ofosu.273@outlook.com
136,Linda Asieduwaa,linda asieduwaa.337,39,male,"USS Twumasi
FPO AA 81017",0265599542,linda asieduwaa.337@yahoo.com
137,Owura David Asiama,owura david asiama.583,19,female,"8213 Rosemary Gateway Apt. 286
Port Richard, UT 46866",+233572837378,owura david asiama.583@outlook.com
138,Agya David Nyaako,agya david nyaako.870,57,female,"365 Martin Wall Suite 489
West Kate, FM 16713",+233207556884,agya david nyaako.870@yahoo.com
139,Rebecca Boateng,rebecca boateng.167,6,male,"488 Twumasi Light
Carolineview, VI 35566",+233249319815,rebecca boateng.167@outlook.com
140,Josh Sarpong,josh sarpong.612,19,male,"168 Okyere Mews Apt. 856
South Roger, TN 55232",+233276907721,josh sarpong.612@outlook.com
141,Abeiku Kusi,abeiku kusi.054,26,female,"19678 Kevin Tunnel
North Nicola, CO 90765",0509416420,abeiku kusi.054@gmail.com
142,Joanna Agyei,joanna agyei.624,4,female,"152 Safo Pine Suite 707
New Christianfort, FM 88889",+233507434317,joanna agyei.624@yahoo.com
143,Matthew Gyasi,matthew gyasi.697,46,male,"01152 Koomson Extension Apt. 531
Rebeccaville, PA 14623",0289146014,matthew gyasi.697@yahoo.com
144,Ms. Adwoa Obeng,ms. adwoa obeng.483,13,male,"923 Veronica Mews Suite 232
New Ekow, PA 50009",+233506777701,ms. adwoa obeng.483@outlook.com
145,George Anokye,george anokye.484,34,female,"17348 Tracy Spur
Lake Joanna, AK 23909",+233262694157,george anokye.484@uk.org
146,Awura Ruth Asamoah,awura ruth asamoah.000,18,male,"35851 Samantha Drive
Kusiwaabury, WV 31607",0287456328,awura ruth asamoah.000@uk.org
147,Clifford Omani,clifford omani.699,5,female,"0553 Felicia Squares Apt. 507
Port Francis, NJ 80556",+233249051914,clifford omani.699@yahoo.com
148,Osofo Jonathan Nkrumah,osofo jonathan nkrumah.494,3,male,"02632 Anima Square Apt. 551
Abrafichester, OR 13229",+233262241205,osofo jonathan nkrumah.494@gmail.com
149,Irene Boakye-Anima,irene boakye-anima.034,41,female,"333 Duah Views Suite 550
Dwamenaview, SD 03334",+233540004613,irene boakye-anima.034@uk.org
150,Philip Opuku-Mensa,philip opuku-mensa.963,15,female,"88138 Otiwa Mill Suite 959
North Yaw, MT 03640",0287652673,philip opuku-mensa.963@yahoo.com
151,Josiah Mensah,josiah mensah.213,29,male,"602 Justin Island Suite 660
Ampofotown, DE 85788",+233502932173,josiah mensah.213@uk.org
152,Sista Regina Mensah,sista regina mensah.084,12,male,"15812 Jeffrey Extension Suite 638
Timothyside, OK 98354",0570540434,sista regina mensah.084@gmail.com
153,Sista Danielle Akɔmaa,sista danielle akɔmaa.325,2,male,"USNS Nyaako
FPO AA 37112",0507849904,sista danielle akɔmaa.325@uk.org
154,Mama Sylvia Obeng,mama sylvia obeng.856,22,female,"96195 Beatrice Ferry
Wiafestad, ME 78590",0282801256,mama sylvia obeng.856@yahoo.com
155,Shaun Akyerεko,shaun akyerεko.642,48,female,"754 Bonsra Rest Apt. 406
Lake Shaun, CA 28605",0547047386,shaun akyerεko.642@outlook.com
156,Dr. Linda Ampadu,dr. linda ampadu.735,60,female,"4292 Marcus Course Suite 180
Nimakoahview, AS 81665",0208962956,dr. linda ampadu.735@uk.org
157,Dorcas Nyaako,dorcas nyaako.628,2,female,"95390 Ampadu Course Apt. 909
New Akwesiview, MS 50578",0268915549,dorcas nyaako.628@uk.org
158,Michelle Frema,michelle frema.085,8,female,"662 Grace Circles
Terenceview, AK 53075",+233246694872,michelle frema.085@gmail.com
159,Jonathan Yirenkyi-Otuo,jonathan yirenkyi-otuo.066,3,female,"6727 Jack Dale Suite 934
Lake Dora, KY 26495",+233572215771,jonathan yirenkyi-otuo.066@outlook.com
160,Jacob Akowua,jacob akowua.985,15,female,"USS Ansa
FPO AE 06838",+233249680107,jacob akowua.985@gmail.com
161,Lydia Antwiwaa-Oppong,lydia antwiwaa-oppong.528,10,female,"0519 Jonathan Spurs Suite 105
Debraville, AR 90117",0280885012,lydia antwiwaa-oppong.528@uk.org
162,Roselyn Akyeampong,roselyn akyeampong.493,53,male,"94861 Roger Crescent
West Rachaelland, KS 66885",+233546924839,roselyn akyeampong.493@outlook.com
163,Mr. Robert Acheampong,mr. robert acheampong.272,37,male,"57491 Irene Plains Suite 502
Kwameburgh, KY 53336",+233202488054,mr. robert acheampong.272@outlook.com
164,Miss Gifty Akɔmaa,miss gifty akɔmaa.717,32,female,"95765 Yeboah Estates Apt. 870
East Wendyview, LA 76900",0203702070,miss gifty akɔmaa.717@uk.org
165,Derrick Afoakwa,derrick afoakwa.454,56,female,"358 Ofori Rapid Apt. 865
North Geraldtown, WV 33659",0501244574,derrick afoakwa.454@outlook.com
166,Agya Frederick Nyantakyi,agya frederick nyantakyi.423,19,female,"03312 Yaamoa Neck
Sarpongborough, KY 08110",+233283288179,agya frederick nyantakyi.423@uk.org
167,Daniel Acheampong,daniel acheampong.764,45,male,"449 Isaac Crescent Apt. 261
Asareside, NH 41521",+233561175312,daniel acheampong.764@gmail.com
168,Isaac Yawson,isaac yawson.228,47,female,"07619 Akowua Harbors Apt. 932
Sarahberg, GU 47011",0208929081,isaac yawson.228@outlook.com
169,Dr. Lorraine Kyerewaa,dr. lorraine kyerewaa.550,38,male,"32544 Yawson Fork Suite 092
Sheilashire, WA 82283",+233264460497,dr. lorraine kyerewaa.550@uk.org
170,Dr. Georgina Fosua,dr. georgina fosua.123,34,female,"315 Jeffrey Course Apt. 545
West Yvonne, OR 71932",0261841741,dr. georgina fosua.123@outlook.com
171,Agya Timothy Owusu,agya timothy owusu.305,28,male,"5534 Samantha Parks Suite 182
East COmfort, CO 49336",0208561467,agya timothy owusu.305@gmail.com
172,Alexander Opoku,alexander opoku.293,48,female,"1284 Josh Gateway Suite 099
Josephineville, MD 09896",+233266612397,alexander opoku.293@yahoo.com
173,Denis Andorful-Adutwum,denis andorful-adutwum.654,17,male,"425 Amo Pike
Nyameville, SC 40741",0266951075,denis andorful-adutwum.654@outlook.com
174,Justin Ampadu,justin ampadu.046,11,female,"40950 Kwaakye Isle
Asareside, AR 18810",0578102693,justin ampadu.046@gmail.com
175,Paul Adusei,paul adusei.089,59,female,"76864 Otiwa Passage
New Joelbury, MP 35229",0500308307,paul adusei.089@yahoo.com
176,Stephen Oppong,stephen oppong.267,28,male,"0883 Dufie Brooks
North Mandy, NH 64424",+233203918417,stephen oppong.267@uk.org
177,Ekow Twumasi,ekow twumasi.818,4,female,"839 Kusiwaa Forges
North Frederick, MS 32446",+233569371318,ekow twumasi.818@yahoo.com
178,Joojo Baa-Agyemang,joojo baa-agyemang.580,42,male,"Unit 1839 Box 9191
DPO AP 70964",0569955723,joojo baa-agyemang.580@yahoo.com
